Note,Tags,State
"""North Carolina Farmworker Health Program (NCFHP)",North Carolina,North Carolina
NC Film Office,,
"""Firewise North Carolina",North Carolina,North Carolina
Division of Marine Fisheries,,
NC flood risk information system,,
NC Foreclosure Prevention Fund,,
"""North Carolina Forest Action Plan",North Carolina,North Carolina
North Carolina Forest Action Plan See historical snapshot at: http://web.archive.org/web/20140517174935/http://ncforestassessment.com/,North Carolina,North Carolina
NC Fresh Produce Information site,,
State of North Carolina,State North Carolina,North Carolina
"""Governor's School of North Carolina",North Carolina,North Carolina
The North Carolina Global TransPark,The North Carolina,North Carolina
NC hearing Aid Dealers,,
NC Health & Human Services,,
NC Healthy School Website,,
NC Housing Finance Agency,,
North Carolina Home Inspetor Licensure Board,North Carolina,North Carolina
NC Historic Sites,,
Office of Indigent Defense Services,,
NC International House,,
NC Institute of Medecine,,
The North Carolina Interpreters & Transliterators Licensing Board,The North Carolina,North Carolina
NCknows is a service that allows North Carolina residents to get help from librarians and use their library resources remotely through a computer. NCknows is a pilot project supported by a grant under the Federally-funded Library Services and Technology Act (LSTA). The project is administered by the State Library of North Carolina in Raleigh with help from a committee of librarians and directors from North Carolina's libraries.,North Carolina,North Carolina
NC Dept of Labor,,
NC Generla Assembly,,
"""North Carolina State Board of Examiners of Plumbing","State Board Examiners, North Carolina State",North Carolina
NC Lifetime Income - Members of the Teachers' and State Employees' Retirement System (TSERS) and Local Governmental Employees' Retirement System (LGERS) will have a one-time opportunity to transfer all or part of their NC 401(k) and/or NC Deferred Compensation (457) funds to the Retirement System in order to receive lifetime income at or after retirement.,,
NC Public Library,,
North Carolina League of Municipalities,North Carolina,North Carolina
the board of Marriage and family therapy of North Carolina,North Carolina,North Carolina
The North Carolina Locksmith Licensing Board,The North Carolina,North Carolina
State of North Carolina Office of Information Technology Services,State North Carolina,North Carolina
North Carolina Maritime Museum System,North Carolina,North Carolina
"""North Carolina Highway Historical Marker Program",North Carolina,North Carolina
NC Medical Board,,
NC Division of Medical Assistance,,
N.C. Office of Minority Health and Health Disparities,,
NC Motor fleet management,,
The N.C. Health Care Personnel Registry Section,,
Early Hearing Detection and Intervention Program (NC DHHS &gt; DPH &gt; WCH Section &gt; Children and Youth Branch),,
The North Carolina Natural Heritage Program,The North Carolina,North Carolina
"""Established in 1987",,
North Carolina Office of Administrative Hearings,North Carolina,North Carolina
Welcome to the Grand Chapter of NC Order of the Eastern Star,,
NC OneMap is a public service providing comprehensive discovery and access to North Carolina's geospatial data resources.,,
"""NC OneMap",,
he North Carolina State Board of Examiners in Optometry,"State Board Examiners, North Carolina State",North Carolina
"""NC Physical Activity and Nutrition Branch (NC PAN)",,
NC ports,,
NC Progress Portal,,
nc psychology board,,
The North Carolina Board of Physical Therapy Examiners,"North Carolina Board, The North Carolina",North Carolina
"""Historical Publications",,
North Carolina Division of Public Health,North Carolina Division,North Carolina
nc public schools,,
"""Radiation Protection Section",,
NC Radon Awarenes Site,,
"""We serve the NC insurance industry by providing services and programs for automobile",,
the North Carolina Respiratory Care,North Carolina,North Carolina
North Carolina Rural Electrification Authority,North Carolina,North Carolina
NC State Board of Environmental Health Specialist Examiners,State Board,
nc report cards for schools,,
nc science and technology,,
NC School for the deaf,,
NC State Employees Combined Campaign,,
North Carolina Seniors' Health Insurance Information Program (SHIIP),North Carolina,North Carolina
"""North Carolina Sickle Cell Syndrome Program",North Carolina,North Carolina
The North Carolina State Improvement Project (NC SIP ). NC SIP is a program in the Exceptional Children Division of the North Carolina Department of Public Instruction (NC DPI).,"North Carolina State, North Carolina Department, The North Carolina",North Carolina
"""Thank you for visiting ACCESSNC",,
"""The Carolina Star Program is designed to recognize and promote effective safety and health management systems. In Star",,
NC state Fair,,
NC Stormwater and Runoff pollution site,,
NC State Univ Extension,,
North Carolina Social Work Certification and Licensure Board,North Carolina,North Carolina
NC Symphony,,
"""Tobacco Free Schools",,
State of North Carolina Japan Office,State North Carolina,North Carolina
NC-TOPPS homepage is now http://www.ncdhhs.gov/MHDDSAS/providers/NCTOPPS/index.htm. Entry still included here for nctopps.ncdmh.net pattern for pages such as https://www.google.com/search?q=site%3Anctopps.ncdmh.net.,,
NC Office of State Personnel,,
NC Transportation Museum,,
North Carolina Department of State Treasurer,North Carolina Department,North Carolina
North Carolina Veterinary Medical Board,North Carolina,North Carolina
North Carolina's marketplace for discarded or surplus materials and products.,,
NC Division of Water Resources,,
North Carolina Division of Water Resources,North Carolina Division,North Carolina
"""North Carolina Well Contractors Certification Commission - protects the public health and safety by ensuring the integrity and competence of well contractors through examination",North Carolina,North Carolina
nc wildlife resource commission,,
"""NC WiseOwl (NC Online Windows for Learning) has been providing online subscription resources for our schools since 1999.  Our mission is to ensure that all of our public and charter school students have access to a collection of online resources for use in research projects and homework assignments",,
NC Zoo is an agency of the North Carolina Department of Natural and Cultural Resources,North Carolina Department,North Carolina
North Dakota League of Cities,,North Dakota
Nevada Department of Wildlife,,Nevada
Nevada Department of Wildlife (NDOW) Licensing,,Nevada
North Dakota Recorders Information Network,,North Dakota
Travel and Tourism Site for North Dakota,Travel Tourism Site,North Dakota
Nebraska Ethanol Board,,Nebraska
Nebraska AgRelations Council,,Nebraska
Nebraska Association of Transportation Providers,,Nebraska
"""Nebraska Arts Council. The Council is funded by the State of Nebraska",,Nebraska
Nebraska Corn Board,,Nebraska
Nebraska Dry Bean Commission,,Nebraska
Nebraska State Historical Society,,Nebraska
Nebraska State Racing Commission,,Nebraska
Nebraska Wheat Board,,Nebraska
Nebraska Department of Economic Development,Economic Development,Nebraska
Nebraska Lottery,,Nebraska
Nevada Department of Transportation,,Nevada
The Nevada Judiciary,,Nevada
Travel and Tourism Site for New Mexico,"Travel Tourism Site, New Mexico",New Mexico
Pennsylvania Department of Community & Economic Development,Economic Development,Pennsylvania
Nebraska Forest Service,,Nebraska
NH Historical Society,,
NH Municipal Association,,
New Hampshire Lottery Commission,,New Hampshire
NH State Parks,,
New Jersey Economic Development Authority,Economic Development Authority,New Jersey
"""Division of Fish and Wildlife",,
New Jersey State Library,,New Jersey
New Jersey Surcharge Violation System (NJSVS),,New Jersey
Department of Labor and Workforce Development,,
New Mexico Lottery,New Mexico,New Mexico
New Mexico Environmental Public Health Tracking,New Mexico,New Mexico
"""Special Supplemental Nutrition Program for New Mexico Women",New Mexico,New Mexico
"""Nutrition Services Branch",,
"""Aging and Disability Services Division",,
New York State Conference of Mayors and Municipal Officials (NYCOM),New York State,New York
New York Historical Society Museum and Library,New York,New York
New York State Council on the Arts,New York State,New York
New York State eGovernment listing of state agencies,New York State,New York
New York State Fair,New York State,New York
New York State Homes and Community Renewal,New York State,New York
New York State Local Government IT Directors Association (NYSLGITDA),New York State,New York
New York State Police Recruitment Center,New York State,New York
OK Corporation Commission,,
"""Office of Hawaiian Affairs - 'Under the direction of nine trustees elected statewide",,
Ohio Bureau of Workers' Compensation,,Ohio
Ohio Humanities Council,,Ohio
Ohio Lottery,,Ohio
Ohio Recorders' Association,,Ohio
Oregon Historical Society,,Oregon
OK career tech website,,
OK dept of human services,,
"""OKLibShare",,
OK LP Gas commission,,
State of Virginia Olmstead Initiative,,Virginia
Ohio Municipal League,,Ohio
"""Office of Land and Water Stewardship",,
Oregon Arts Commission,,Oregon
Oregon Governor's Office of Film and Television,,Oregon
Oregon Lottery,,Oregon
Oregon State Fair,,Oregon
"""The Oklahoma Resources Integration General Information Network System (Origins) is an online database which contains economic",,Oklahoma
Office of the State Bank Commissioner of Kansas,,Kansas
OK State Court System,,
Office of the Maryland State Prosecutor,,Maryland
North Carolina Division of Environmental Assistance and Customer Service,North Carolina Division,North Carolina
Commonwealth of Pennsylvania's media hub,,
Unified Judicial System of Pennsylvania,,Pennsylvania
PA eHealth Partnership Authority,,
Pennsylvania FirstNet. See also http://www.ntia.doc.gov/sligp/pennsylvania.,,Pennsylvania
Republic of Palau National Government,,
Palau Judiciary Branch,,
Georgia State Defense Force public affairs office. Website mirrored on gasdf.com. Referenced on https://ga.ng.mil/Leadership/Georgia-State-Defense-Force/.,Georgia State Defense,Georgia
South Dakota Parks & Wildlife Foundation,,South Dakota
PA State System of Higher Education,,
PA Patient Safety Authority,,
Pennsylvania Turnpike Commission,,Pennsylvania
PA Health Care Cost Containment Council,,
PA Higher Education Assistance Agency,,
PA Higher Educational Facilities Authority,,
PA Housing Finance Agency,,
"""Pat Harrison Waterway District (PHWD)",,
South Carolina Ports Authority,South Carolina,South Carolina
The Port of Virginia,,Virginia
Washington State Potato Commission,Washington State,Washington
"""Alabama Historical Commission",,Alabama
"""Queen Anne's Revenge",,
"""Uninsured Employers' Fund",,
OK State AG Econ at OSU,,
"""Ready NC",,
"""Ready PA",,
Washington Red Raspberry Commission,,Washington
The State Board of Refrigeration Examiners,State Board,
Division of Vocational Rehabilitation - Florida Department of Education,,Florida
Rhode Island Clean Water Finance Agency,,Rhode Island
Rhode Island Emissions and Safety Testing,,Rhode Island
Rhode Island Lottery,,Rhode Island
Rhode Island Public Utilities Commission,,Rhode Island
Rhode Island Turnpike and Bridge Authority,,Rhode Island
"""Office of the President",,
"""SafeMT",,
NC Safe Haven Law - Abandoned Infant Protection Law Site,,
"""The website of the Virginia Center on Aging (VCoA)",,Virginia
"""Santee Cooper",,
New Mexico Office of the State Auditor,New Mexico,New Mexico
Save Water NC,,
"""Florida State Board of Administration",State Board,Florida
Washington State Board for Community and Technical Colleges,"State Board, Washington State",Washington
"""State College Borough Water Authority",,
SC dept of commerce,,
SC judicial courts,,
SC DMV,,
South Carolina Education Lottery,South Carolina,South Carolina
South Carolina Emergency Management Division,South Carolina,South Carolina
SC early childhood education program,,
SC Gov Mansion,,
SC govoners school for science and math,,
SC National Guard,National Guard,
"""The State Council of Higher Education for Virginia (SCHEV) makes higher education public policy recommendations to the Governor and General Assembly in such areas as capital and operating budget planning",,Virginia
"""School Planning Section",,
South Carolina Independent Living Council (SCILC),South Carolina,South Carolina
South Carolina Independent Living Council (SCILC),South Carolina,South Carolina
"""The South Carolina EPSCoR/IDeA Program",South Carolina,South Carolina
SC malpractice patient compensation fund,,
South Carolina School for the Deaf and Blind,South Carolina,South Carolina
South Carolina Statewide Independent Living Council (SILC),South Carolina,South Carolina
SC sec of state,,
South Carolina Department of Revenue,South Carolina,South Carolina
South Carolina Higher EducationTuition Grants Commission,South Carolina,South Carolina
SC State Election Committee,,
SC Vocab Rehab,,
South Dakota Department of Transportation,,South Dakota
South Dakota Housing Development Authority,Development Authority,South Dakota
STATE EMPLOYEES ASSOCIATION OF NORTH CAROLINA,,
"""Seeking Michigan",,Michigan
Minnesota Senate,,Minnesota
"""Authorized Service Website for the Arizona Department of Transportation",,Arizona
Mississippi State Port Authority,,Mississippi
North Carolina State Health Plan for Teachers and State Employees,North Carolina State,North Carolina
SLED (Statewide Library Electronic Doorway),,
"""State Laboratory of Public Health",,
"""Science Museum of Virginia",,Virginia
NC Secretary Of State,,
south carolina arts commission,,
south carolina historical society,,
PA State Public School Building Authority,,
"""Susquehanna River Basin Commission - The Susquehanna River Basin Compact",,
"""Start Squad",,
North Carolina's Justus-Warren Heart Disease and Stroke Prevention Task Force,,
"""*state.ak.us pattern to include Alaska state agencies",,Alaska
"""*state.al.us pattern to include Alabama state agencies",,Alabama
*state.ar.us pattern for State of Arkansas agencies,,Arkansas
"""*state.az.us pattern to include Arizona state agencies",,Arizona
"""*state.ca.us pattern to include California state agencies",,California
"""Included to find *.state.co.us pattern to find state websites",,
"""*state.fl.us pattern to include Florida state agencies",,Florida
State of Ga website,,
State of Iowa,,Iowa
Pattern for *state.id.us websites,,
State of Illinois,,Illinois
state of  Indiana,,Indiana
Ky Website,,
State Library of Louisiana,,Louisiana
Mass State Website,,
"""State website is at http://www.maryland.gov. state.md.us pattern to include Maryland state agencies",,Maryland
state of maine,,
state of michigan,,
Minnesota.gov portal; 'electronic entry point to Minnesota State government information and services',,Minnesota
State of Mississippi,,Mississippi
*.state.ne.us pattern to include several state agencies.,,
NH State Website,,
"""http://www.state.nj.us/ and http://www.nj.gov both resolve to the same site. n*state.nj.us pattern to include New Jersey state agencies",,New Jersey
State of New Mexico,New Mexico,New Mexico
State of Ohio,,Ohio
State of OK website,,
"""http://www.state.or.us/ resolves to a non-styled version of http://www.oregon.gov/  n*state.or.us pattern included here to find State of Oregon agencies",,Oregon
State of SC,,
South Dakota State Government Website,,South Dakota
Official site of the Tennessee Government,,Tennessee
The official website of the Commonwealth of Virginia,,Virginia
State of Vermont,,Vermont
State of Washington,,Washington
"""*.state.wi.us pattern is included here for various Department-level agencies",,
State of Wyoming travel and tourism website,,Wyoming
Nebraska State Fair,,Nebraska
"""Staten Island Borough President",,
NC Division of Surplus Property,,
NC sustainability connection,,
"""Welcome to Teach4NC",,
Tennessee Holocaust Commission,,Tennessee
State Bar of Texas,,Texas
Tennessee Foreign Language Institute,,Tennessee
Tennessee Housing Development Agency,,Tennessee
kentucky cabinet of economic development,,
Texas Municipal Retirement System (TMRS),,Texas
Tennessee District Attorneys General Conference,,Tennessee
Tennessee Emergency Management Agency,,Tennessee
Lottery Tennessee,,Tennessee
Tennessee National Guard,National Guard,Tennessee
"""Tennessee Vacation",,Tennessee
Texas Parks and Wildlife magazine,,Texas
Travel and Tourism Site for Alaska,Travel Tourism Site,Alaska
Travel and Tourism Site for Iowa,Travel Tourism Site,Iowa
Travel and Tourism Site for Kansas,Travel Tourism Site,Kansas
Travel and Tourism Sites for Nevada,Travel Tourism Sites,Nevada
Travel and Tourism Sites for Oklahoma,Travel Tourism Sites,Oklahoma
"""Travel and Tourism Site for Oregon",Travel Tourism Site,Oregon
Travel and Tourism Sites for South Dakota,Travel Tourism Sites,South Dakota
Travel and Tourism Sites for Texas,Travel Tourism Sites,Texas
Travel and Tourism Sites for Wisconsin,Travel Tourism Sites,Wisconsin
Nebraska State Treasurer,,Nebraska
Washington Tree Fruit Research Commission,,Washington
Washington State Tobacco Settlement Authority,Washington State,Washington
Texas Lottery,,Texas
"""University of Arkansas",,Arkansas
University of Alaska Fairbanks Cooperative Extension Service,Cooperative Extension Service,Alaska
University of Idaho Extension,,Idaho
U.S. Virgin Islands Bureau of Economic Research,,Virgin Islands
U.S. Virgin Islands Economic Development Authority,Economic Development Authority,Virgin Islands
University of Vermont Extension,,Vermont
University of Wisconsin-Extension,,
University of Wyoming Cooperative Extension Service,Cooperative Extension Service,Wyoming
Virginia State Rehabilitation Council (SRC),,Virginia
"""The Virginia Association of Assessing Officers is a professional organization of assessors and appraisers from state and local governments throughout the Commonwealth. The organization's mission is to improve assessment standards",,Virginia
Virginia Board for People with Disabilities,,Virginia
Virginia Commonwealth Neurotrauma Initiative (CNI) Trust Fund,,Virginia
Virginia Department for Aging and Rehabilitative Services,Virginia Department,Virginia
Virginia Department for Aging and Rehabilitative Services,Virginia Department,Virginia
Virginia Disability Services Agencies,,Virginia
Virginia Department of Fire Programs,Virginia Department,Virginia
Virginia Lottery,,Virginia
Virginia Statewide Independent Living Council,,Virginia
Virginia Assistive Technology System,,Virginia
Virginia Career Education Foundation is a non-profit organization that works to increase the number of qualified applicants available to fill technical positions throughout the Commonwealth of Virginia.,,Virginia
Virginia Department for the Blind and Vision Impaired,Virginia Department,Virginia
Virginia Department for the Deaf and Hard of Hearing (VDDHH),Virginia Department,Virginia
State of North Carolina's Vendor Registration,,
Vermont Arts Council,,Vermont
Vermont Historical Society,,Vermont
Travel and Tourism Site for Vermont,Travel Tourism Site,Vermont
Virginia Housing Development Authority,Development Authority,Virginia
Vermont Housing Finance Agency,,Vermont
The Virginia Horse Industry Board is responsible for the promotion and economic development of the horse industry in Virginia and operates through the Virginia Department of Agriculture and Consumer Services.,Virginia Department,Virginia
"""Virginia Industries for the Blind",,Virginia
Virgin Islands Department of Education,,Virgin Islands
Office of the Virgin Islands Inspector General,,Virgin Islands
U.S. Virgin Islands Police Department,,Virgin Islands
Travel and Tourism Sites for Virginia,Travel Tourism Sites,Virginia
Virginia College Savings Plan,,Virginia
Virginia Economic Development Partnership's Ally Information Exchange,Economic Development,Virginia
Virginia Department of Transportation,Virginia Department,Virginia
Virginia Resources Authority,,Virginia
Travel and Tourism Site for California,Travel Tourism Site,California
California Welcome Centers,,California
Travel and Tourism Sites for Delaware,Travel Tourism Sites,Delaware
Travel and Tourism Site for Florida,Travel Tourism Site,Florida
Travel and Tourism Sites for Guam,Travel Tourism Sites,
Travel and Tourism Site for Idaho,Travel Tourism Site,Idaho
Travel and Tourism Sites for Maine,Travel Tourism Sites,Maine
Travel and Tourism Site for Maryland,Travel Tourism Site,Maryland
Travel and Tourism Sites for Mississippi,Travel Tourism Sites,Mississippi
Travel and Tourism Site for Missouri,Travel Tourism Site,Missouri
Travel and Tourism Site for Montana,Travel Tourism Site,Montana
Travel and Tourism Site for North Carolina,"Travel Tourism Site, North Carolina",North Carolina
Travel and Tourism Site for Nebraska,Travel Tourism Site,Nebraska
Travel and Tourism Site for Pennsylvania,Travel Tourism Site,Pennsylvania
Travel and Tourism Site for Rhode Island,Travel Tourism Site,Rhode Island
Travel and tourism site for the US Virgin Islands,,Virgin Islands
Travel and Tourism Site for Utah,Travel Tourism Site,Utah
Supreme Court of the United States Virgin Islands,,Virgin Islands
"""Viva Florida 500 is a statewide initiative led by the Florida Department of State",,Florida
"""Virginia Museum of Natural History in Martinsville",,Virginia
Florida Governor's Commission on Volunteerism and Community Service,,Florida
"""Volunteer Mississippi",,Mississippi
North Carolina Commission on Volunteerism and Community Service,North Carolina,North Carolina
Virginia Rehabilitation Center for the Blind and Vision Impaired,,Virginia
Virginia Rural Water Association,,Virginia
Virginia State Bar,,Virginia
Vermont National Guard,National Guard,Vermont
Vermont Lottery,,Vermont
Washington Blueberry Commission,,Washington
Washington Hardwoods Commission,,Washington
Washington State Lottery,Washington State,Washington
Washington State Seed Potato Commission,Washington State,Washington
Travel and Tourism Site for the District of Columbia,Travel Tourism Site,
Washington Air National Guard,National Guard,Washington
Washington Army National Guard,National Guard,Washington
Washington National Guard,National Guard,Washington
Washington State Wine Commission,Washington State,Washington
Washington Association of Sheriffs and Police Chiefs,,Washington
"""Waterparkin'",,
"""The Way We Lived in North Carolina",North Carolina,North Carolina
State of Wisconsin Department of Financial Institutions,,Wisconsin
University of Rhode Island Cooperative Extension,,Rhode Island
Washington Economic Development Finance Authority,Economic Development,Washington
"""Women's Health Branch",,
Wisconsin Housing and Economic Development Authority,Economic Development Authority,Wisconsin
Washington Higher Education Facilities Authority,,Washington
Oklahoma Department of Wildlife Conservation - http://www.wildlifedepartment.com/,,Oklahoma
Wisconsin Lottery,,Wisconsin
Virgin Islands Lottery,,Virgin Islands
Wisconsin Historical Society,,Wisconsin
Wisconsin State Public Defender's Office,,Wisconsin
Register of Deeds Association of Wisconsin,,Wisconsin
"""NC Dept of Health and Human services",,
Washington State Convention Center,Washington State,Washington
Washington State Commission on Pesticide Registration,Washington State,Washington
Washington State Housing Finance Commission,Washington State,Washington
Washington State School for the Blind,Washington State,Washington
West Virginia Department of Agriculture,"Virginia Department, West Virginia",West Virginia
West Virginia Department of Commerce,"Virginia Department, West Virginia",West Virginia
West Virginia Division of Culture and History,West Virginia,West Virginia
West Virginia Department of Health and Human Resources,"Virginia Department, West Virginia",West Virginia
West Virginia Housing Development Fund,West Virginia,West Virginia
West Virginia Higher Education Policy Commission,West Virginia,West Virginia
"""West Virginia Department of Commerce","Virginia Department, West Virginia",West Virginia
West Virginia Lottery,West Virginia,West Virginia
West Virginia Network for Educational Telecomputing,West Virginia,West Virginia
West Virginia Consolidated Public Retirement Board,West Virginia,West Virginia
West Virginia State Parks,West Virginia,West Virginia
West Virginia State Treasurer's Office,West Virginia,West Virginia
Travel and Tourism Site for West Virginia,"Travel Tourism Site, West Virginia",West Virginia
West Virginia Water Development Authority,"Development Authority, West Virginia",West Virginia
Montana Army National Guard,National Guard,Montana
Wyoming Business Council,,Wyoming
Travel and Tourism Site for Wyoming,Travel Tourism Site,Wyoming
"""Virginia Economic Development Partnership. As a state authority",Economic Development,Virginia
